"연령별(1)","행정구역(동읍면)별(1)","항목",2011,2012,2013,2014,2015,2016,2017,2018,2019
"계","합계","계",2507271,2505644,2501588,2493264,2487829,2484557,2475231,2461769,2438031
"계","합계","남자",1251577,1249320,1246071,1241119,1237291,1234169,1227814,1219342,1205286
"계","합계","여자",1255694,1256324,1255517,1252145,1250538,1250388,1247417,1242427,1232745
"계","중구","계",76600,75439,76246,78812,80928,79712,78986,79401,77421
"계","중구","남자",37616,36980,37276,38444,39492,38720,38395,38498,37384
"계","중구","여자",38984,38459,38970,40368,41436,40992,40591,40903,40037
"계","동구","계",341206,342092,343802,347975,349728,351352,349379,351291,345469
"계","동구","남자",170918,171161,171738,173633,174224,174663,173301,173955,170601
"계","동구","여자",170288,170931,172064,174342,175504,176689,176078,177336,174868
"계","서구","계",222619,220211,215399,210770,206028,199507,191992,184372,175277
"계","서구","남자",113135,111782,109196,106740,104213,100760,96795,92796,88052
"계","서구","여자",109484,108429,106203,104030,101815,98747,95197,91576,87225
"계","남구","계",169095,168715,166062,163492,160852,156433,152845,150501,148113
"계","남구","남자",82674,82455,81060,79758,78305,76147,74133,72664,71366
"계","남구","여자",86421,86260,85002,83734,82547,80286,78712,77837,76747
"계","북구","계",449775,448485,444359,444375,443119,440383,441375,439489,437710
"계","북구","남자",225858,225108,222780,222664,221876,220247,220579,219307,218150
"계","북구","여자",223917,223377,221579,221711,221243,220136,220796,220182,219560
"계","수성구","계",461083,459779,461004,456505,451786,447011,439211,432759,428614
"계","수성구","남자",226551,225429,225950,223495,220898,218317,213939,210621,208024
"계","수성구","여자",234532,234350,235054,233010,230888,228694,225272,222138,220590
"계","달서구","계",606542,606557,610358,606433,602641,591891,578068,573413,568887
"계","달서구","남자",302775,302340,303952,301846,299818,294121,286779,284127,281348
"계","달서구","여자",303767,304217,306406,304587,302823,297770,291289,289286,287539
"계","달성군","계",180351,184366,184358,184902,192747,218268,243375,250543,256540
"계","달성군","남자",92050,94065,94119,94539,98465,111194,123893,127374,130361
"계","달성군","여자",88301,90301,90239,90363,94282,107074,119482,123169,126179
